F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,TARGET
0.181818182,0.136363636,0.227272727,0,0,0.318181818,0,0.318181818,0,0.181818182,0.227272727,0.136363636,0.045454545,0.318181818,0.045454545,0,0.363636364,0,0.181818182,0.136363636,0.227272727,0.090909091,0.318181818,0,0.227272727,0.136363636,0.181818182,0,0,0.318181818,0.318181818,0,0,0.136363636,0.181818182,0.227272727,0.136363636,0.227272727,0.181818182,16.0003901
0.181818182,0.090909091,0.272727273,0,0,0.272727273,0,0.272727273,0,0.181818182,0.272727273,0.090909091,0.136363636,0.227272727,0.045454545,0,0.363636364,0,0.181818182,0.090909091,0.272727273,0.136363636,0.318181818,0.045454545,0.272727273,0.090909091,0.181818182,0,0,0.363636364,0.272727273,0,0,0.045454545,0.227272727,0.227272727,0.090909091,0.272727273,0.181818182,64.00156714
0.266666667,0.266666667,0.2,0.066666667,0.133333333,0.333333333,0.133333333,0.066666667,0.266666667,0.133333333,0.466666667,0,0.333333333,0.266666667,0.066666667,0.266666667,0.266666667,0.066666667,0.066666667,0.533333333,0.066666667,0.133333333,0.333333333,0.133333333,0.2,0.266666667,0.266666667,0.066666667,0.266666667,0.2,0.533333333,0,0,0.266666667,0.266666667,0.066666667,0.4,0.2,0.133333333,1.988578658
0.256410256,0.179487179,0.205128205,0.230769231,0.179487179,0.256410256,0.153846154,0.282051282,0.153846154,0.282051282,0.179487179,0.205128205,0.230769231,0.153846154,0.025641026,0.205128205,0.230769231,0.153846154,0.205128205,0.230769231,0.153846154,0.230769231,0.179487179,0.256410256,0.179487179,0.205128205,0.230769231,0.205128205,0.153846154,0.282051282,0.333333333,0,0,0.128205128,0.358974359,0.051282051,0.333333333,0.153846154,0.102564103,44.37034656
0.0625,0.25,0.4375,0.1875,0,0.5625,0.1875,0.375,0.1875,0.1875,0.25,0.4375,0.4375,0,0.0625,0.0625,0.25,0.4375,0,0.4375,0,0.4375,0.0625,0.1875,0.4375,0.25,0.0625,0.4375,0.0625,0.1875,0.25,0,0.0625,0.1875,0.125,0,0.3125,0.125,0,73.0504279
0.3125,0.125,0.375,0.125,0.1875,0.1875,0.25,0.1875,0.1875,0.1875,0.3125,0.1875,0.75,0,0,0.1875,0.25,0.25,0,0.75,0,0.25,0.1875,0.25,0.25,0.25,0.1875,0.25,0.1875,0.25,0.4375,0,0,0.125,0.3125,0,0.25,0.5,0.1875,66.97210341
0.2,0.133333333,0.133333333,0.266666667,0.066666667,0.266666667,0.2,0,0.2,0.266666667,0.2,0.133333333,0.266666667,0.066666667,0.2,0.266666667,0.133333333,0,0.066666667,0.266666667,0.066666667,0,0.266666667,0.2,0.066666667,0.266666667,0.2,0,0.266666667,0.2,0.266666667,0,0.066666667,0.466666667,0,0,0.2,0.2,0.133333333,66.90317846
0.071428571,0.285714286,0.357142857,0.142857143,0.071428571,0.571428571,0.142857143,0.5,0.142857143,0.142857143,0.214285714,0.428571429,0.5,0,0.142857143,0.071428571,0.285714286,0.357142857,0,0.5,0,0.357142857,0.071428571,0.357142857,0.357142857,0.285714286,0.071428571,0.357142857,0.071428571,0.357142857,0.357142857,0.071428571,0,0.142857143,0.142857143,0,0.357142857,0.142857143,0,77.47729849
0.052631579,0.210526316,0.263157895,0,0,0.473684211,0.157894737,0.210526316,0.263157895,0.052631579,0.052631579,0.421052632,0.263157895,0,0.052631579,0.157894737,0.421052632,0.052631579,0,0.263157895,0,0.052631579,0.157894737,0.421052632,0.105263158,0.368421053,0.105263158,0.052631579,0.157894737,0.421052632,0.263157895,0,0,0.157894737,0,0,0.263157895,0.315789474,0,14.11698393
0.35483871,0.322580645,0.064516129,0.193548387,0,0.258064516,0.129032258,0.258064516,0,0,0,0.387096774,0.387096774,0.161290323,0.032258065,0.35483871,0.322580645,0.064516129,0.161290323,0.516129032,0.032258065,0.096774194,0.451612903,0.225806452,0.064516129,0.322580645,0.35483871,0.064516129,0.35483871,0.322580645,0.677419355,0,0,0.161290323,0.161290323,0.032258065,0.677419355,0,0,10.3287338
